idx,rel_path,size_mb,pages,sha256,duplicate_of,text_chars,thai_chars,status,text_file,error
90,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part18.pdf,16.67,92,5b87d50c1a1e19ad2044abfa83ce18f06e9f6d514f26796850fe1ebd6ab23a54,All in 4s Collector’s Edition (2)_part18.pdf,543,1,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\090_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part18.pdf.txt,
91,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part19.pdf,13.16,61,c5ff6c272191d462e534a8dc1dad62be944dd3fd928eb2719fff610e9bfcd41c,All in 4s Collector’s Edition (2)_part19.pdf,358,146,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\091_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part19.pdf.txt,
92,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part2.pdf,20.855,92,991fd2b8a9dc0cea23c9c2cf9535609be4e144260be9a5bd10eae27d3c31442d,All in 4s Collector’s Edition (2)_part2.pdf,983,370,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\092_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part2.pdf.txt,
93,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part20.pdf,15.557,80,0fd4d69f4b162fc23aed6ee2fd1c931e82d8d55585bc0f66ac72e5f38ec19bb2,,388,0,text_extracted,tmp\allin4s_pdf_audit\text\093_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part20.pdf.txt,
94,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part21.pdf,14.797,80,b920ab16bfd9e031139d994fdb3dbd97df8a8e80bf5c74699e0cc5da8f0f1148,,359,1,text_extracted,tmp\allin4s_pdf_audit\text\094_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part21.pdf.txt,
95,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part22.pdf,7.899,37,5e32b3b8138109f963d68e522b4dfb3858efa0401eb9f1523ae8ccf84a4c2cad,,358,146,text_extracted,tmp\allin4s_pdf_audit\text\095_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part22.pdf.txt,
96,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part3.pdf,17.747,92,b505e64a0cd247cb10c522a5f564ae38edfd255d20153736299732ed58a7a8d5,All in 4s Collector’s Edition (2)_part3.pdf,918,253,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\096_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part3.pdf.txt,
97,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part4.pdf,17.799,92,0e655f7cf4891f87c4a12dfc0e63da9a2d6c709943792acfbcb45a3dfcec9a1c,All in 4s Collector’s Edition (2)_part4.pdf,1797,613,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\097_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part4.pdf.txt,
98,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part5.pdf,15.694,92,e8f4d8dd199b1985568f55fad9447dd809c5f6080d2eb63d477bd636c36e3b13,All in 4s Collector’s Edition (2)_part5.pdf,1176,288,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\098_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part5.pdf.txt,
99,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part6.pdf,16.554,92,9b40defa786587f25707dd72c00f9917e5513cd95aaf560090999507cc1c3bcb,All in 4s Collector’s Edition (2)_part6.pdf,910,96,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\099_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part6.pdf.txt,
