Time (BKK),Close Time,TF,Type,Entry,SL,TP,P&L,Reason
2026-07-01 08:43:00,2026-07-01 09:08:00,M1,SELL,3996.93,4006.71,3983.02,13.90,TP
2026-07-01 08:44:00,2026-07-01 09:10:00,M1,SELL,3996.35,4006.70,3981.57,14.77,TP
2026-07-01 08:45:00,2026-07-01 09:10:00,M1,SELL,3996.16,4006.70,3981.11,15.04,TP
2026-07-01 08:46:00,2026-07-01 09:10:00,M1,SELL,3995.99,4006.69,3980.69,15.29,TP
2026-07-01 08:49:00,2026-07-01 09:10:00,M1,SELL,3995.94,4006.66,3980.60,15.33,TP
2026-07-01 08:50:00,2026-07-01 09:10:00,M1,SELL,3995.45,4006.66,3979.39,16.05,TP
2026-07-01 08:53:00,2026-07-01 09:05:00,M1,SELL,3995.91,4001.59,3988.14,15.53,TP
2026-07-01 08:54:00,2026-07-01 09:05:00,M1,SELL,3995.56,4001.58,3987.28,16.55,TP
2026-07-01 08:55:00,2026-07-01 09:10:00,M1,SELL,3993.75,4001.60,3982.72,11.03,TP
2026-07-01 08:59:00,2026-07-01 09:05:00,M1,SELL,3996.60,4001.65,3989.77,13.65,TP
2026-07-01 09:01:00,2026-07-01 09:05:00,M1,SELL,3996.38,4001.69,3989.16,14.43,TP
2026-07-01 09:02:00,2026-07-01 09:05:00,M1,SELL,3996.14,4001.71,3988.54,15.19,TP
2026-07-01 09:40:00,2026-07-01 10:36:00,M1,SELL,3975.65,3985.35,3961.85,-9.71,SL
2026-07-01 09:42:00,2026-07-01 10:36:00,M1,SELL,3975.26,3985.34,3960.89,-10.09,SL
2026-07-01 09:45:00,2026-07-01 10:36:00,M1,SELL,3978.48,3985.33,3968.96,-13.71,SL
2026-07-01 09:48:00,2026-07-01 10:36:00,M1,SELL,3978.34,3985.32,3968.62,-6.99,SL
2026-07-01 09:49:00,2026-07-01 10:36:00,M1,SELL,3975.33,3985.34,3961.06,-10.02,SL
2026-07-01 09:52:00,2026-07-01 10:36:00,M1,SELL,3977.86,3985.33,3967.40,-7.48,SL
2026-07-01 09:53:00,2026-07-01 10:36:00,M1,SELL,3975.21,3985.35,3960.75,-10.14,SL
2026-07-01 09:56:00,2026-07-01 10:36:00,M1,SELL,3975.54,3985.31,3961.64,-9.77,SL
2026-07-01 10:05:00,2026-07-01 10:36:00,M1,SELL,3974.49,3985.24,3959.12,-10.76,SL
2026-07-01 10:06:00,2026-07-01 10:36:00,M1,SELL,3970.49,3985.27,3949.07,-14.79,SL
2026-07-01 10:08:00,2026-07-01 10:15:00,M1,SELL,3971.52,3977.62,3963.12,-6.10,SL
2026-07-01 10:09:00,2026-07-01 10:36:00,M1,SELL,3970.90,3985.25,3950.13,-14.36,SL
2026-07-01 10:12:00,2026-07-01 10:36:00,M1,SELL,3972.52,3985.22,3954.23,-12.70,SL
2026-07-01 11:27:00,2026-07-01 11:31:00,M1,SELL,3981.81,3984.21,3978.96,11.38,TP
2026-07-01 11:31:00,2026-07-01 12:10:00,M1,SELL,3980.19,3984.21,3974.91,10.55,TP
2026-07-01 11:37:00,2026-07-01 13:12:00,M1,SELL,3978.28,3984.21,3970.14,8.13,TP
2026-07-01 11:48:00,2026-07-01 12:55:00,M1,SELL,3977.27,3982.49,3970.18,-10.45,SL
2026-07-01 11:50:00,2026-07-01 12:55:00,M1,SELL,3977.39,3982.49,3970.50,-10.21,SL
2026-07-01 11:53:00,2026-07-01 12:55:00,M1,SELL,3977.47,3982.46,3970.73,-9.99,SL
2026-07-01 11:54:00,2026-07-01 12:55:00,M1,SELL,3977.40,3982.45,3970.58,-10.11,SL
2026-07-01 12:02:00,2026-07-01 12:55:00,M1,SELL,3977.68,3982.43,3971.31,-9.51,SL
2026-07-01 12:03:00,2026-07-01 12:55:00,M1,SELL,3975.50,3982.45,3965.83,-6.95,SL
2026-07-01 12:07:00,2026-07-01 12:55:00,M1,SELL,3975.92,3982.44,3966.90,-6.53,SL
2026-07-01 12:09:00,2026-07-01 12:55:00,M1,SELL,3976.48,3982.42,3968.32,-5.95,SL
2026-07-01 12:10:00,2026-07-01 12:55:00,M1,SELL,3975.35,3982.42,3965.49,-7.08,SL
2026-07-01 12:11:00,2026-07-01 12:31:00,M1,SELL,3974.01,3980.18,3965.50,-6.18,SL
2026-07-01 12:16:00,2026-07-01 12:55:00,M1,SELL,3975.93,3982.41,3966.97,-6.49,SL
2026-07-01 12:18:00,2026-07-01 12:31:00,M1,SELL,3975.05,3980.17,3968.12,-5.13,SL
2026-07-01 12:39:00,2026-07-01 12:48:00,M1,SELL,3974.30,3978.58,3968.63,-8.57,SL
2026-07-01 13:16:00,2026-07-01 13:32:00,M1,SELL,3970.95,3977.48,3961.91,-6.54,SL
2026-07-01 13:17:00,2026-07-01 13:32:00,M1,SELL,3970.29,3977.48,3960.26,-7.20,SL
2026-07-01 13:26:00,2026-07-01 13:32:00,M1,SELL,3972.87,3977.46,3966.73,-4.60,SL
2026-07-01 13:30:00,2026-07-01 13:32:00,M1,SELL,3972.43,3977.46,3965.63,-5.04,SL
