Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
-,-,S111,M5,BUY,2859.42,2857.92,2862.57,0.01,2.95,1944.4,TP
-,-,S111,M5,SELL,2900.05,2901.55,2895.79,0.01,-1.7,1942.7,SL
-,-,S111,M5,BUY,2883.09,2881.59,2891.88,0.01,-1.7,1941.0,SL
-,-,S111,M5,SELL,2933.42,2934.92,2928.32,0.01,-1.7,1939.3,SL
-,-,S111,M5,BUY,2930.18,2928.68,2934.22,0.01,-1.7,1937.6,SL
-,-,S111,M5,BUY,2930.18,2928.68,2934.22,0.01,-1.7,1935.9,SL
-,-,S111,M5,SELL,2943.6,2945.1,2940.5,0.01,2.9,1938.8,TP
-,-,S111,M5,SELL,2941.25,2942.75,2937.13,0.01,-1.7,1937.1,SL
-,-,S111,M5,SELL,2937.42,2938.92,2934.21,0.01,-1.7,1935.4,SL
-,-,S111,M5,SELL,2927.2,2928.7,2921.22,0.01,-1.7,1933.7,SL
-,-,S111,M5,SELL,2927.2,2928.7,2921.22,0.01,-1.7,1932.0,SL
-,-,S111,M5,SELL,2920.26,2921.76,2915.62,0.01,-1.7,1930.3,SL
-,-,S111,M5,SELL,2920.26,2921.76,2915.62,0.01,-1.7,1928.6,SL
-,-,S111,M5,SELL,2920.26,2921.76,2915.62,0.01,-1.7,1926.9,SL
-,-,S111,M5,SELL,2927.2,2928.7,2921.22,0.01,-1.7,1925.2,SL
-,-,S111,M5,BUY,2895.24,2893.74,2901.82,0.01,-1.7,1923.5,SL
-,-,S111,M5,BUY,2895.24,2893.74,2901.82,0.01,-1.7,1921.8,SL
-,-,S111,M5,BUY,2895.24,2893.74,2901.82,0.01,-1.7,1920.1,SL
-,-,S111,M5,BUY,2895.24,2893.74,2901.82,0.01,-1.7,1918.4,SL
-,-,S111,M5,BUY,2895.24,2893.74,2901.82,0.01,-1.7,1916.7,SL
-,-,S111,M5,BUY,2895.24,2893.74,2901.82,0.01,-1.7,1915.0,SL
-,-,S111,M5,BUY,2895.24,2893.74,2901.82,0.01,-1.7,1913.3,SL
-,-,S111,M5,BUY,2859.32,2857.82,2869.28,0.01,9.76,1923.06,TP
-,-,S111,M5,BUY,2859.59,2857.6,2871.79,0.01,12.0,1935.06,TP
-,-,S111,M5,BUY,2859.59,2858.09,2871.79,0.01,12.0,1947.06,TP
-,-,S111,M5,BUY,2859.59,2858.09,2871.79,0.01,12.0,1959.06,TP
-,-,S111,M5,BUY,2859.59,2858.09,2871.79,0.01,12.0,1971.06,TP
-,-,S111,M5,BUY,2859.59,2858.09,2871.79,0.01,12.0,1983.06,TP
-,-,S111,M5,BUY,2859.32,2857.82,2869.28,0.01,9.76,1992.82,TP
-,-,S111,M5,BUY,2859.32,2857.82,2869.28,0.01,9.76,2002.58,TP
-,-,S111,M5,BUY,2859.32,2857.82,2869.28,0.01,9.76,2012.34,TP
-,-,S111,M5,BUY,2859.32,2857.82,2869.28,0.01,9.76,2022.1,TP
-,-,S111,M5,BUY,2905.58,2904.08,2908.73,0.01,2.95,2025.05,TP
-,-,S111,M5,BUY,2905.58,2904.08,2908.73,0.01,2.95,2028.0,TP
-,-,S111,M5,SELL,2993.79,2995.29,2990.14,0.01,3.45,2031.45,TP
-,-,S111,M5,BUY,3031.04,3029.54,3033.86,0.01,2.62,2034.07,TP
-,-,S111,M5,BUY,3036.68,3035.18,3038.56,0.01,1.68,2035.75,TP
